supplier_id,supplier_name,region_wood,wood_species,density_kg_m3,hardness_n,moisture_content_pct,carbon_storage_kg_co2e_per_kg,recyclability_rate_pct,price_per_m3_euros,quality_grade,certification,origin,updated_at,contact_email
SUP029,Foresterie Durand,provence,beech,490,3702,11.0,3.18,54,1589.52,A-,PEFC-70%,Sweden,18/01/2023,contact@foresteriedurand.fr
SUP030,Menuiserie Bretonne,Poitou,rahogany,556,5965,23.0,2.68,38,271.09,A-,pefc,,2023-07-06,contact@menuiseriebretonne.fr
S31,Bois Noble SARL,LORRAINE,oak,1087,3980,12.2,1.53,118,1772.79,C,fsc,Italy,04/25/2025,contact@boisnoblesarl.fr
SUP032,Scierie Provençale,Poitou,CHESTNUT,550,,9.2,2.69,33,2275.37,A-,FSC,Germany,2024-11-21,contact@scierieprovençale.fr
SUP033,Forestiers Unis,Poitou,douglas,N/A,1475,18.5,4.19,120,308.85,Premium,FSC-100%,Sweden,20-03-2023,contact@forestiersunis.fr
SUP034,Forestiers Unis,Aquitaine,Teck,,5741,21.9,0.67,99,681.13,Basic,FFCS,Espagne,11/23/2024,contact@forestiersunis.fr
SUP035,Bois Noble SARL,Provence,sapin,809,3115,74.9,4.07,139,448.27,Basic,pefc,Germany,08/28/2025,contact@boisnoblesarl.fr
SUP036,Bois Authentique,Franche-Comté,CHÂTAIGNIER,376,4969,55.9,1.39,82,638.16,A,SFC,Suède,11/12/2023,contact@boisauthentique.fr
SUP037,Bois Authentique,Picardie,teak,unknown,3094,8.1,4.33,50,1384.37,A,PEFC-70%,Sweden,2025-09-14,contact@boisauthentique.fr
SUP038,Scierie des Vosges,Aquitaine,hêtre,1132,6903,10.0,4.11,50,2261.33,Basic,PEFC,Allemagne,2025-08-20T00:00:00Z,contact@scieriedesvosges.fr
S39,Forêt & Tradition,Corse,Beech,743,2056,15.2,2.2,89,1135.13,A-,pefc,Allemagne,10/03/2024,contact@forêtettradition.fr
SUP040,Bois & Cie,poitou,walnut,1080,3575,21.8,0.22,53,2342.45,Premium,FFCS,,02/11/2025,contact@boisetcie.fr
SUP041,Bois & Cie,Picardie,fir,1004,,12.3,2.55,60,466.66,Premium,fsc,Norvège,14/10/2024,contact@boisetcie.fr
SUP042,Forestiers Unis,Limousin,fir,1032,1115,20.1,3.36,100,1840.9,C,PEFC,,16/09/2024,contact@forestiersunis.fr
SUP043,Ateliers Boisés,BRETAGNE,teck,908,1990,18.2,2.97,99,792.4,Standard,FSC-100%,Norvège,09/04/2025,contact@ateliersboisés.fr
SUP044,Forêt & Tradition,BRETAGNE,LINDEN,502,2621,9.8,2.01,70,2038.05,Premium,PEFC,France,2025-05-03,contact@forêtettradition.fr
SUP045,Scierie des Vosges,Auvergne,FIR,972,6889,21.7,2.32,65,1597.3,C,SFC,Norway,12/04/2025,contact@scieriedesvosges.fr
SUP046,Bois Authentique,Provence,If,830,3582,18.4,0.97,84,2001.62,B,fcs,Espagne,06/10/2025,contact@boisauthentique.fr
SUP047,Ateliers Boisés,FRANCHE-COMTÉ,Yew,,7651,12.3,1.42,39,1785.14,A,SFC,Sweden,25/07/2025,contact@ateliersboisés.fr
SUP048,Scierie des Vosges,BRETAGNE,érable,484,3428,18.2,1.67,71,1781.17,Premium,FSC,Germany,2024-11-09,contact@scieriedesvosges.fr
SUP049,Forêt Française,PROVENCE,CEDAR,1161,6041,20.9,2.28,93,1048.17,B,FFCS,,13-01-2023,contact@forêtfrançaise.fr
SUP050,Ateliers Boisés,FRANCHE-COMTÉ,PINE,1139,5147,14.6,0.68,20,1447.61,Standard,FFCS,,20-07-2025,contact@ateliersboisés.fr
